playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
gutiefr01,2016,1,SEA,AL,OF,70,55,1427,105,1,0,0,,,,,
guyerbr01,2016,1,TBA,AL,OF,50,46,1237,97,1,3,0,,,,,
guyerbr01,2016,2,CLE,AL,OF,33,25,642,53,2,1,0,,,,,
gyorkje01,2016,1,SLN,NL,1B,11,8,192,61,5,0,6,,,,,
gyorkje01,2016,1,SLN,NL,2B,46,39,1013,63,136,1,32,,,,,
gyorkje01,2016,1,SLN,NL,3B,39,28,816,21,54,3,7,,,,,
gyorkje01,2016,1,SLN,NL,SS,26,25,654,38,74,6,18,,,,,
hahnje01,2016,1,OAK,AL,P,9,9,139,3,6,0,1,,,,,
haleda02,2016,1,COL,NL,P,2,0,6,0,0,0,0,,,,,
hallco01,2016,1,MIA,NL,P,2,0,9,0,0,0,0,,,,,
hamelco01,2016,1,TEX,AL,P,32,32,602,9,18,3,0,,,,,
hamilbi02,2016,1,CIN,NL,OF,115,108,2827,276,9,3,4,,,,,
hammeja01,2016,1,CHN,NL,P,30,30,500,16,24,1,2,,,,,
handbr01,2016,1,SDN,NL,P,82,0,268,2,9,1,1,,,,,
hanigmi01,2016,1,ARI,NL,OF,31,29,773,62,2,1,0,,,,,
hanigry01,2016,1,BOS,AL,C,34,30,792,258,26,0,3,18,,18,7,
hansoal01,2016,1,PIT,NL,2B,8,5,140,13,11,2,6,,,,,
happja01,2016,1,TOR,AL,P,32,32,585,6,26,0,0,,,,,
hardybl01,2016,1,DET,AL,P,21,0,77,2,4,0,1,,,,,
hardyjj01,2016,1,BAL,AL,SS,115,115,2970,140,326,6,80,,,,,
harpebr03,2016,1,WAS,NL,OF,143,142,3737,256,5,2,1,,,,,
harrelu01,2016,1,ATL,NL,P,5,5,88,3,4,1,0,,,,,
harrelu01,2016,2,TEX,AL,P,4,4,53,1,2,0,1,,,,,
harrijo05,2016,1,PIT,NL,2B,128,122,3233,262,366,7,97,,,,,
harrijo05,2016,1,PIT,NL,OF,1,0,3,0,0,0,0,,,,,
harriwi02,2016,1,HOU,AL,P,66,0,192,9,7,0,1,,,,,
hartdo01,2016,1,BAL,AL,P,22,0,55,1,5,0,1,,,,,
harvema01,2016,1,NYN,NL,P,17,17,278,5,17,1,2,,,,,
hatchch02,2016,1,LAN,NL,P,37,0,122,3,4,1,0,,,,,
hathast01,2016,1,ARI,NL,P,24,0,44,1,2,0,0,,,,,
hayesdr01,2016,1,CIN,NL,P,6,0,29,0,1,0,0,,,,,
hazelje01,2016,1,SLN,NL,OF,73,38,1207,79,0,4,0,,,,,
headlch01,2016,1,NYA,AL,3B,140,134,3507,90,278,10,25,,,,,
healyry01,2016,1,OAK,AL,3B,72,72,1913,42,144,9,9,,,,,
heanean01,2016,1,LAA,AL,P,1,1,18,0,0,0,0,,,,,
hechaad01,2016,1,MIA,NL,SS,153,135,3666,203,359,13,72,,,,,
hedgeau01,2016,1,SDN,NL,C,7,7,185,47,2,1,1,0,,2,2,
heisech01,2016,1,WAS,NL,OF,44,21,735,59,0,0,0,,,,,
hellebe01,2016,1,NYA,AL,P,10,0,21,0,2,1,0,,,,,
hellije01,2016,1,PHI,NL,P,32,32,567,8,28,0,3,,,,,
hembrhe01,2016,1,BOS,AL,P,38,0,153,2,7,1,0,,,,,
hendeji01,2016,1,NYN,NL,P,44,0,105,2,3,1,0,,,,,
hendrky01,2016,1,CHN,NL,P,31,30,570,16,30,0,2,,,,,
hendrli01,2016,1,OAK,AL,P,53,0,194,3,5,0,0,,,,,
heredgu01,2016,1,SEA,AL,OF,43,18,704,66,3,1,1,,,,,
hernace02,2016,1,PHI,NL,2B,149,143,3742,241,390,12,102,,,,,
hernace02,2016,1,PHI,NL,SS,4,2,59,6,6,0,3,,,,,
hernada01,2016,1,PHI,NL,P,70,0,218,2,6,0,0,,,,,
hernaen02,2016,1,LAN,NL,2B,11,5,147,7,11,0,0,,,,,
hernaen02,2016,1,LAN,NL,3B,5,1,44,1,5,2,0,,,,,
hernaen02,2016,1,LAN,NL,OF,62,39,1052,78,4,0,1,,,,,
hernaen02,2016,1,LAN,NL,SS,2,1,33,0,1,0,0,,,,,
hernafe02,2016,1,SEA,AL,P,25,25,460,6,20,2,1,,,,,
hernago01,2016,1,SFN,NL,OF,22,13,379,28,2,0,0,,,,,
hernama02,2016,1,BOS,AL,2B,14,3,135,9,12,1,4,,,,,
hernama02,2016,1,BOS,AL,3B,10,6,177,5,10,1,4,,,,,
hernama02,2016,1,BOS,AL,SS,2,1,30,0,2,0,0,,,,,
hernaos01,2016,1,ARI,NL,C,4,3,87,25,0,0,0,1,,0,0,
hernate01,2016,1,HOU,AL,OF,38,27,768,46,1,2,0,,,,,
herreke01,2016,1,KCA,AL,P,72,0,216,2,7,0,1,,,,,
herreod01,2016,1,PHI,NL,OF,155,147,3904,372,11,9,4,,,,,
herrmch01,2016,1,ARI,NL,1B,2,0,15,2,0,0,2,,,,,
herrmch01,2016,1,ARI,NL,C,31,29,790,226,19,1,0,3,,11,7,
herrmch01,2016,1,ARI,NL,OF,9,6,167,9,1,1,0,,,,,
herrmfr01,2016,1,PHI,NL,P,14,0,45,0,1,1,0,,,,,
hesslke01,2016,1,ARI,NL,P,2,0,9,0,1,0,0,,,,,
hesslke01,2016,2,SDN,NL,P,15,0,56,0,3,0,1,,,,,
hestoch01,2016,1,SFN,NL,P,4,0,15,0,0,0,0,,,,,
heywaja01,2016,1,CHN,NL,OF,141,133,3602,269,5,2,2,,,,,
hicksaa01,2016,1,NYA,AL,OF,119,92,2537,186,3,1,1,,,,,
hicksjo02,2016,1,DET,AL,1B,1,0,9,3,1,0,0,,,,,
hillaa01,2016,1,MIL,NL,2B,20,16,450,32,49,0,8,,,,,
hillaa01,2016,1,MIL,NL,3B,59,55,1409,38,97,2,10,,,,,
hillaa01,2016,2,BOS,AL,2B,4,0,48,1,5,0,1,,,,,
hillaa01,2016,2,BOS,AL,3B,44,30,826,19,53,3,7,,,,,
hillri01,2016,1,OAK,AL,P,14,14,228,4,7,2,1,,,,,
hillri01,2016,2,LAN,NL,P,6,6,103,0,10,0,0,,,,,
hinojda01,2016,1,PHI,NL,P,10,0,33,1,3,0,0,,,,,
hochelu01,2016,1,KCA,AL,P,40,0,112,0,3,0,1,,,,,
