yearID,teamID,lgID,playerID,salary,pos
2016,LAD,NL,kazmisc01,14985384,P
2016,SEA,AL,cruzne02,14250000,B
2016,STL,NL,molinya01,14200000,B
2016,CHC,NL,montemi01,14000000,P
2016,CHW,AL,cabreme01,14000000,B
2016,DET,AL,kinslia01,14000000,B
2016,TOR,AL,bautijo02,14000000,B
2016,WSN,NL,zimmery01,14000000,B
2016,PIT,NL,liriafr01,13666667,P
2016,MIN,AL,santaer01,13500000,P
2016,NYY,AL,gardnbr01,13500000,B
2016,PIT,NL,mccutan01,13208333,B
2016,CIN,NL,phillbr01,13083333,B
2016,BOS,AL,buchhcl01,13000000,P
2016,NYY,AL,headlch01,13000000,B
2016,PHI,NL,harrima01,13000000,B
2016,BAL,AL,jimenub01,12673102,P
2016,BOS,AL,pedrodu01,12642511,B
2016,TBR,AL,longoev01,12600018,B
2016,CIN,NL,bruceja01,12541666,B
2016,COL,NL,rosajo01,12500000,B
2016,LAD,NL,mccarbr01,12500000,P
2016,MIA,NL,chenwe02,12500000,P
2016,STL,NL,peraljh01,12500000,B
2016,ATL,NL,freemfr01,12359375,B
2016,BAL,AL,hardyjj01,12209424,B
2016,MIL,NL,garzama01,12209424,P
2016,WSN,NL,gonzagi01,12100000,P
2016,KCR,AL,gordoal01,12000000,B
2016,MIL,NL,hillaa01,12000000,B
2016,MIN,AL,nolasri01,12000000,P
2016,STL,NL,leakemi01,12000000,P
2016,TOR,AL,dicker.01,12000000,B
2016,CHW,AL,abreujo02,11666667,B
2016,OAK,AL,butlebi03,11666667,B
2016,TOR,AL,donaljo02,11650000,B
2016,STL,NL,garcija02,11500000,P
2016,TOR,AL,estrama01,11500000,P
2016,BOS,AL,castiru02,11400000,B
2016,SFG,NL,paganan01,11250000,B
2016,ATL,NL,markani01,11000000,B
2016,BOS,AL,kimbrcr01,11000000,P
2016,CHW,AL,roberda08,11000000,P
2016,MIA,NL,pradoma01,11000000,B
2016,OAK,AL,crispco01,11000000,B
2016,SEA,AL,iwakuhi01,10976096,P
2016,WSN,NL,papeljo01,10936574,P
2016,SFG,NL,samarje01,10800000,P
2016,CHC,NL,arrieja01,10700000,P
2016,LAD,NL,janseke01,10650000,P
2016,NYM,NL,walkene01,10550000,B
2016,CHC,NL,zobribe01,10500000,B
2016,WSN,NL,strasst01,10400000,P
2016,TEX,AL,darviyu01,10000000,P
2016,TOR,AL,encared01,10000000,B
2016,TOR,AL,happja01,10000000,P
2016,SFG,NL,bumgama01,9916667,P
2016,PIT,NL,melanma01,9650000,P
2016,SDP,NL,rossty01,9625000,P
2016,LAD,NL,kendrho01,9540378,B
2016,KCR,AL,volqued01,9500000,P
2016,NYY,AL,chapmar01,9468443,P
2016,MIN,AL,hugheph01,9200000,P
2016,BAL,AL,trumbma01,9150000,B
2016,CHW,AL,salech01,9150000,P
2016,BOS,AL,ueharko01,9000000,P
2016,CHC,NL,hammeja01,9000000,P
2016,HOU,AL,gomezca01,9000000,B
2016,KCR,AL,moralke01,9000000,B
2016,MIA,NL,stantmi03,9000000,B
2016,NYY,AL,millean01,9000000,P
2016,PIT,NL,niesejo01,9000000,P
2016,SFG,NL,romose01,9000000,P
2016,BAL,AL,gallayo01,8728776,P
2016,ATL,NL,aybarer01,8500000,B
2016,KCR,AL,vargaja01,8500000,P
2016,PHI,NL,ruizca01,8500000,B
