playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
verhadr01,2016,1,DET,AL,1,0,19,0,0,0,0,57,28,15,3,7,10,0.346,7.11,1,1,1,0,90,4,15,0,1,2
carasma01,2016,1,COL,NL,1,0,19,0,0,0,0,47,25,16,1,11,17,0.373,9.19,0,2,3,0,83,7,17,0,2,2
turneja01,2016,1,CHA,AL,1,2,18,2,0,0,0,74,33,18,5,16,18,0.324,6.57,1,2,2,0,122,8,27,0,2,3
campole01,2016,1,SDN,NL,1,0,18,0,0,0,0,66,18,14,3,14,24,0.222,5.73,2,1,1,0,98,10,16,1,1,2
caminar01,2016,2,SEA,AL,1,1,18,0,0,0,0,59,21,8,3,11,18,0.263,3.66,1,1,1,0,93,2,14,1,0,1
hoovejj01,2016,1,CIN,NL,1,2,18,0,0,0,1,56,29,28,9,12,15,0.345,13.5,1,0,1,0,97,8,29,0,0,1
thornma01,2016,1,SDN,NL,1,0,18,0,0,0,0,51,22,11,2,6,9,0.314,5.82,0,0,1,0,77,8,12,0,0,4
morrobr01,2016,1,SDN,NL,1,0,18,0,0,0,0,48,19,3,2,3,8,0.306,1.69,1,0,0,0,68,2,4,2,1,2
montgmi01,2016,2,CHN,NL,1,1,17,5,0,0,0,115,30,12,5,20,38,0.217,2.82,0,5,4,0,164,5,15,1,1,5
garcilu03,2016,1,PHI,NL,1,1,17,0,0,0,0,46,21,11,2,8,14,0.318,6.46,1,2,1,0,76,7,11,0,1,0
weberry01,2016,1,ATL,NL,1,1,16,2,0,0,0,109,46,22,7,5,23,0.309,5.45,2,1,2,0,157,6,22,1,0,5
capuach01,2016,1,MIL,NL,1,1,16,0,0,0,0,72,23,11,7,15,27,0.256,4.13,2,1,1,0,106,3,11,0,0,4
pattosp01,2016,1,CHN,NL,1,1,16,0,0,0,0,64,20,13,3,14,22,0.233,5.48,0,0,1,0,101,7,16,0,0,0
wimmeal01,2016,1,MIN,AL,1,3,16,0,0,0,0,52,14,8,2,11,14,0.237,4.15,1,0,0,0,72,2,8,0,2,3
johnsst02,2016,1,SEA,AL,1,0,16,0,0,0,0,50,13,8,3,11,17,0.206,4.32,0,1,0,0,75,12,8,0,1,0
parkebl01,2016,2,NYA,AL,1,0,16,0,0,0,1,49,16,9,1,8,15,0.25,4.96,1,0,2,0,74,5,9,0,0,0
smithjo05,2016,2,CHN,NL,1,1,16,0,0,0,0,43,11,4,4,5,15,0.216,2.51,0,0,1,0,57,3,4,0,0,0
edginjo01,2016,1,NYN,NL,1,0,16,0,0,0,0,31,10,6,1,6,11,0.27,5.23,0,1,0,0,45,4,6,0,2,2
bergmch01,2016,1,COL,NL,1,3,15,1,0,0,0,74,39,23,7,6,22,0.355,8.39,0,0,0,0,119,5,24,2,1,2
collmjo01,2016,1,ARI,NL,1,0,15,0,0,0,0,67,21,12,4,11,17,0.253,4.84,1,0,2,0,97,10,12,1,0,4
hesslke01,2016,2,SDN,NL,1,0,15,0,0,0,0,56,19,7,2,11,9,0.257,3.38,2,0,0,0,86,4,7,1,0,1
socolmi01,2016,1,SLN,NL,1,0,15,0,0,0,0,54,5,4,2,5,16,0.086,2,0,0,0,0,64,6,4,0,1,0
lambjo02,2016,1,CIN,NL,1,7,14,14,0,0,0,210,84,50,14,31,58,0.303,6.43,0,1,1,1,318,0,54,8,1,6
woodal02,2016,1,LAN,NL,1,4,14,10,0,0,0,181,56,25,5,20,66,0.245,3.73,0,4,3,0,255,0,30,0,2,5
drakeol01,2016,1,BAL,AL,1,0,14,0,0,0,0,54,11,8,2,7,21,0.167,4,0,1,0,0,74,5,11,1,0,0
gustaja01,2016,1,HOU,AL,1,0,14,0,0,0,0,46,13,6,2,4,16,0.232,3.52,0,2,0,0,60,4,6,0,0,1
herrmfr01,2016,1,PHI,NL,1,2,14,0,0,0,0,45,20,14,7,5,14,0.323,8.4,0,3,1,0,69,4,16,1,0,2
fienca01,2016,1,MIN,AL,1,0,14,0,0,0,0,41,21,12,5,3,12,0.35,7.9,0,1,0,0,63,2,12,0,0,2
duensbr01,2016,1,BAL,AL,1,0,14,0,0,0,0,40,13,6,2,3,10,0.25,4.05,1,1,0,0,55,4,6,0,0,1
barbajo01,2016,1,NYA,AL,1,2,13,0,0,0,0,39,13,11,2,5,15,0.26,7.62,0,0,2,0,57,5,11,0,0,0
egeco01,2016,2,LAA,AL,1,0,13,0,0,0,0,26,8,1,1,3,9,0.25,1.04,0,0,0,0,36,3,1,0,1,1
hugheph01,2016,1,MIN,AL,1,7,12,11,1,0,0,177,76,39,11,13,34,0.313,5.95,0,0,0,0,259,0,40,1,2,6
cashnan01,2016,2,MIA,NL,1,4,12,11,0,0,0,158,62,35,6,30,45,0.301,5.98,3,2,1,0,241,1,36,2,2,9
zychto01,2016,1,SEA,AL,1,0,12,0,0,0,0,41,10,5,0,10,21,0.208,3.29,2,0,1,0,60,3,6,0,1,1
jeffrje01,2016,2,TEX,AL,1,0,12,0,0,0,0,40,10,4,0,7,7,0.227,2.7,0,3,0,0,51,1,4,0,0,5
oberhbr01,2016,2,LAA,AL,1,1,11,2,0,0,0,60,27,19,7,9,16,0.318,8.55,1,0,1,0,95,4,19,0,0,1
minayju01,2016,1,CHA,AL,1,0,11,0,0,0,0,31,10,5,0,5,6,0.25,4.35,0,0,2,0,47,3,6,0,0,1
colonjo01,2016,1,CLE,AL,1,3,11,0,0,0,0,30,12,8,2,7,10,0.279,7.2,1,1,0,1,50,5,9,0,0,0
baumabu01,2016,1,SDN,NL,1,0,11,0,0,0,0,29,7,4,0,4,10,0.2,3.72,0,0,1,0,40,2,4,0,0,0
rollida01,2016,1,SEA,AL,1,0,11,0,0,0,0,28,12,8,2,7,6,0.3,7.71,1,1,0,0,47,6,8,0,0,0
ynoaga01,2016,1,NYN,NL,1,0,10,3,0,0,0,55,26,13,0,7,17,0.333,6.38,0,0,1,0,88,2,13,0,2,1
